rand,setID,id,collection,dc.audience,dc.contributor,dc.contributor.advisor,dc.contributor.editor,dc.contributor.sponsor,dc.creator,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.updated,dc.description.abstract[en],dc.description.sponsorship[en],dc.description.tableofcontents[en],dc.description[en],dc.format.extent[en],dc.format.medium[en],dc.format.mimetype,dc.identifier.citation[en],dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.other,dc.identifier.uri,dc.identifier.url,dc.language.iso,dc.provenance,dc.publisher,dc.relation.ispartof[en],dc.relation.ispartofseries,dc.relation.ispartofseries[en],dc.relation.uri[en],dc.rights.requestable[en],dc.rights.uri,dc.rights[en],dc.subject.lcsh[en],dc.subject[en],dc.title.alternative[en],dc.title[en],dc.type[en],local.department[en],local.embargo.lift,local.embargo.terms,,Verbs,Relevance,ActivityType
4,22,143b2882-0b79-43e2-a9a8-56b42b310b8d,1969.1/93296,,,,,,"Wilhelm, Jennifer",2020-02-07T17:07:38Z,2020-02-07T17:07:38Z,,2018,,"An initiative by the Bryan + College Station Public Library System (BCSPLS) sought to increase public awareness of library programs and bring in new and larger groups of patrons. A main focus on financial literacy and entrepreneurship led in several collaborations with local non profit organizations and educational institutions. 
The partnerships and program offerings resulted in increased program attendance, strengthened community bonds, and an increased awareness of library resources.",,,,,,,,,,,,http://hdl.handle.net/1969.1/187104,,,,,,,,,,,,,Librarianship||Academic Libraries||Business Librarianship||Collaboration||Career Centers||Financial Literaacy,,It’s Good for Business: How to Make Library Collaborations Yield Dividends,Other,University Libraries,,,,increase public awareness||resulted,7||6,Applied
4,28,98fffe16-2ea1-4e0a-8cdd-7ca0e2657a2b,1969.1/93296,,,,,,"Tabacaru, Simona||Ramirez, Diana",2019-04-29T15:35:08Z,2019-04-29T15:35:08Z,,2015-06-27,,"This study examines usage patterns of psychology e-books and equivalent print titles held in Texas A&M University (TAMU) Libraries collections. The authors sought to determine how well PsycBOOKS, a specialized subject-based collection, serves user’s needs. Results support evidence-based collection acquisition and management decisions of books in print and electronic formats.",,,,,,,"Tabacaru, S. & Ramirez, D. (2015, June 27). Evidence-Based Collection Management in Psychology: A Comprehensive Analysis of PsycBOOKS. Poster presented at the 2015 Annual Conference of the American Library Association, San Francisco, CA.",,,,,http://hdl.handle.net/1969.1/175224,,en_US,,American Library Association,,,,,,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,Attribution-NonCommercial-NoDerivs 3.0 United States,,PsycBOOKS||collection assessment||academic libraries,,Evidence-Based Collection Management in Psychology: A Comprehensive Analysis of PsycBOOKS,Presentation,University Libraries,,,,examines usage,7,Applied
4,34,8b2b88c2-8258-4ed4-9763-3139a9d9e431,1969.1/93296,,,,,,"Malina, Roger||Strohecker, Carol||LaFayette, Carol",2018-05-19T14:44:47Z,2018-05-19T14:44:47Z,,2015-01-22,,"In 2012, the Network for Sciences, Engineering, Arts, and Design (SEAD) launched a White Papers initiative to build community awareness of perceived challenges and opportunities for transdisciplinary collaboration. The synthesis report, Steps to an Ecology of Networked Knowledge and Innovation, offers a set of ""action clusters"" common to texts from the international response by SEAD members. Suggested Actions are structured according to similarities of motivation and purpose, and addressed to specific stakeholders. The synthesis report is published by MIT Press with a Creative Commons license. The SEAD White Papers initiative was chaired by Roger Malina and co-chaired by Carol Strohecker, with the assistance of an international Steering Group and coordination by Carol LaFayette and Amy Ione, Managing Editor.","Supported by the National Science Foundation under Grant No. 1142510, Collaborative Research: EAGER: Network for Science, Engineering, Arts and Design (NSEAD) IIS, Human Centered Computing.",,,,,,"Malina, R., Strohecker, C., LaFayette, C. 2015. Steps to an Ecology of Networked Knowledge and Innovation: Enabling New Forms of Collaboration among Sciences, Engineering, Arts, and Design. ISAST, MIT Press (CC BY-NC 4.0). ",,,,E-ISBN: 978-0-262-75863-5,http://hdl.handle.net/1969.1/166434,,en_US,,MIT Press (CC BY-NC 4.0),,,,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Attribution-NonCommercial-ShareAlike 3.0 United States,,"sciences, engineering, arts, design, transdisciplinary, multidisciplinary, cross-disciplinary, collaboration",,"Steps to an Ecology of Networked Knowledge and Innovation: Enabling New Forms of Collaboration among Sciences, Engineering, Arts, and Design",Book,Visualization,,,,,,Applied
4,40,dc454bd3-821f-424d-a38f-d1d212f3f119,1969.1/93296,,,,,,"Hoppenfeld, Jared||Smith, Michael M.",2014-01-06T17:11:18Z,2014-01-06T17:11:18Z,,2014,,"Numerous studies have been performed on information-seeking behaviors in specific disciplines but not in business. The purpose of this study was to gather a better understanding of business faculty research processes and, in doing so, come away with ideas on how best to support their initiatives. A comprehensive survey was sent to all business faculty members at the authors’ institution. The results led to discussions on topics including resource preferences, library usage, and institutional repositories.",,,,,,,"Hoppenfeld, Jared and Michael M. Smith. “Information-Seeking Behaviors of Business Faculty.” Journal of Business & Finance Librarianship 19, no. 1 (2014): 1-14. doi:10.1080/08963568.2014.852906",,,,,http://hdl.handle.net/1969.1/151412,,en_US,,Taylor & Francis,,,,,false,,,,business faculty||research methods||library resources||faculty preference||information-seeking behaviors,,Information-Seeking Behaviors of Business Faculty,Article,University Libraries,,,,,,Applied
4,46,2c92fcc4-cfe0-4d70-99c7-300b0286552f,1969.1/93296,,,,,,"Patterson, Clint||Chang, Chi-Ning||Lavadia, Courtney||Pardo, Marta||Fowler, Debra||Butler-Purry, Karen",2019-09-16T21:41:44Z,2019-09-16T21:41:44Z,,2019-09-16,,"Concerning trends in graduate education, such as high attrition and underdeveloped skills, drive toward a new doctoral education approach. This paper aims to describe and propose a transformative doctoral education model (TDEM), incorporating elements that potentially address these challenges and expand the current practice. The model envisions discipline-specific knowledge coupled with a broader interdisciplinary perspective and addresses the transferable skills necessary to successfully navigate an ever-changing workforce and global landscape. The overarching goal of TDEM is to transform the doctoral student into a multi-dimensional and adaptive scholar, so the students of today can effectively and meaningfully solve the problems of tomorrow. The foundation of TDEM is transformative learning theory, supporting the notion learner transformation occurs throughout the doctoral educational experience. Designed as a customizable framework for learner-centered doctoral education, TDEM promotes a mentor network on and off-campus, interdisciplinarity and agile career scope preparedness.This proposed doctoral education framework was formulated through a review of the literature and experiences with curricular design and pedagogical practices at a research-intensive university’s teaching and learning center. TDEM answers the call to develop frameworks that address issues in doctoral education and present a flexible and more personalized training. TDEM encourages doctoral student transformation into adaptive, forward-thinking scholars and thriving in an ever-changing workforce.","TDEM spun out of a funded proposal (NSF-DGE-1545403) to design an interdisciplinary curriculum specific to materials science, informatics, and engineering education. The authors are grateful for the faculty and students at Texas A&M University’s D3EM program. In addition, the authors wish to thank the reviewers for their constructive feedback and appreciate anyone who had helpful discussions with them.",,,,,,,10.1108/SGPE-03-2019-0029,,,,http://hdl.handle.net/1969.1/177899,,en_US,,,,,,,,,,,graduate education||transferable skills||mentoring||interdisciplinary||career planning||Transformative Learning Theory,,Transforming doctoral education: Preparing multidimensional and adaptive scholars,Article,Other,,,,,,Applied
4,52,46cab9fe-a340-470d-b9a7-a9b51d395756,1969.1/93296,,,,,,"Hoppenfeld, Jared||Graves, Stephanie J.||Sewell, Robin R.||Halling, T. Derek",2019-06-05T20:36:52Z,2019-06-05T20:36:52Z,,2019-06-04,,"Sedentary behavior has increased over the last several decades, and this has led to major life-threatening health issues. Texas A&M University Libraries has introduced an innovative idea in three of their buildings. This case study highlights the implementation of Bike Desks at an academic library while offering strategies for other libraries wishing to replicate this project, and analyzes data from a user survey. The survey explored student experiences, including perceived satisfaction and any perceived gains in study habits while using the Bike Desk.",,,,,,,"Hoppenfeld, Jared, Stephanie J. Graves, Robin R. Sewell, and T. Derek Halling. ""Biking to Academic Success: A Study on a Bike Desk Implementation at an Academic Library."" Public Services Quarterly 15, no. 2 (2019): 85-103. doi: 10.1080/15228959.2018.1552229",https://doi.org/10.1080/15228959.2018.1552229,,,,http://hdl.handle.net/1969.1/175383,,en_US,,Taylor & Francis,,,,,,,,,academic libraries||bike desk||student success||exercise||innovation,,Biking to Academic Success: A Study on a Bike Desk Implementation at an Academic Library,Article,University Libraries,,,,,,Applied
4,58,73fde055-9958-4781-b917-15796ee09108,1969.1/93296,,,,,,"Moberly, Heather K.||Page, Jessica R.||Youngen, Gregory K.||Hamel, Barbara J.",2018-05-19T01:23:32Z,2018-05-19T01:23:32Z,,2014,,"Abstract
Introduction
This presentation describes a bibliometric methodology to define an ancillary journal list as a complement to a core journal list. Although it can be applied to any discipline with a core journal literature, this case study data set is research published by faculty at the 28 American Veterinary Medical Association accredited veterinary schools in the United States. This ancillary list identifies interdisciplinary and collaborative publications by analyzing the non-core subject literature. 
Methods
Eleven years of citation data were collected from Web of Knowledge and exported to Excel. Data in several fields were normalized, pivot tables were created, and data were uploaded into Many Eyes visualization tool. The result sets were compared to the current core veterinary serials list. The images from both the pivot tables and Many Eyes showed clear trends in the data
for each school and across schools.
Results and Conclusions
Overall, 56 percent of articles were published in the core veterinary journals. Bradford’s Law and a Bradford-Zipf plot show an enormous breadth of veterinary publications.",,,,,,,"Moberly, H.K., J.R. Page, G.K. Youngen, and B.J. Hamel. “A bibliometric methodology for identifying interdisciplinary and collaborative publications.” In: 14th European Association for Health Information and Libraries (EAHIL) Conference, 2014, Rome Italy",,,,,http://hdl.handle.net/1969.1/166431,,en_US,,European Association of Health Information Professionals (EAHIL),,,,,,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,Attribution-NonCommercial-NoDerivs 3.0 United States,,veterinary information||veterinary librarianship||bibliometrics,,A bibliometric methodology for identifying interdisciplinary and collaborative publications,Article,University Libraries,,,,,,Applied
4,64,8ba7da66-bec5-4e9b-aa8d-db305f84de2a,1969.1/93296,,,,,,"Herbert, Bruce E.||Lee, Dong Joon||Hahn, Doug||Mejia, Ethel",2019-09-06T11:46:33Z,2019-09-06T11:46:33Z,,2019-09-06,,"Texas A&M has strategic initiatives focused on academic reputation and interdisciplinary research. The Scholars@TAMU team used campus needs associated with these initiatives to drive the evolution of the Texas A&M implementation of VIVO and associated library services. Our focus on meeting campus needs has led to strong faculty engagement with Scholars@TAMU as well as Provost and Dean buy-in for our programs. We discuss the strategic framework that guided Scholars@TAMU development and implementation. This framework may help provide a roadmap for future VIVO development as well as VIVO implementations at diverse universities.

https://scholars.tamu.edu/",,,,,,,,,,,,http://hdl.handle.net/1969.1/177789,,en_US,,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal,,Research Information Management Systems||RIM||VIVO||CRIS||Researcher profile system,,"Using Campus Needs Involving Tenure & Promotion, Interdisciplinary Collaborations, and Institutional Research to Drive the Evolution of VIVO at Texas A&M University",Presentation,University Libraries,,,,,,Applied
4,70,0d611149-0bb2-4a8f-a15a-c49bfccd63cd,1969.1/93296,,,,,,"Melgoza, Pauline||Sare, Laura",2017-04-25T18:21:21Z,2017-04-25T18:21:21Z,,2017-04-25,,"Many graduate students from Texas A&M University’s departments of Architecture, Civil Engineering, and Construction Sciences have a need for construction industry data. In these departments there is a sizeable body of international students who are unfamiliar with how to access construction industry information and data, especially U.S. data. This poster will highlight the creation of a Libguide that aids graduate students focusing on the construction industry in accessing the data needed to write their theses. The guide focuses on providing government, trade association, and organization data and most importantly organizes it in a manner that facilitates discovery. It was promoted to teaching faculty in these areas so they could provide their graduate students with a starting point for research, as well as introduce them to subject librarians who can assist the students in further research. The guide went live in the Spring semester of 2014 and was promoted by the Texas A&M University Libraries marketing team and multiple subject librarians. At the end of the semester the guide will be assessed by reviewing usage statistics and patron feedback. This poster will visually demonstrate the decision and methodology used to create a specific web guide for a graduate student major focus as well as use graphs and charts to show usage results and patron feedback. Providing this information will encourage other libraries to provide similar guides to support graduate students at their institutions.",,,,,,,,,,,,http://hdl.handle.net/1969.1/160221,,en_US,,,,,,,,,,,Poster||LibGuides||Graduate Students,,Targeting Grad Students: Creating a Web Guide for Thesis Writers in the Construction Industry Fields,Presentation,University Libraries,,,,,,Applied
4,76,9ab02095-8bae-4c73-bf75-c8858ed57cf7,1969.1/93296||1969.1/5671,,,,,,"Potvin, Sarah||Creel, James Silas",2013-05-23T15:52:48Z,2013-05-23T15:52:48Z,,2013-05-23,,"In the summer of 2012, Texas A&M University Libraries uploaded more than 16,000 retrospectively-digitized masters-level theses, dating from 1922 to 2004, into our DSpace institutional repository.
Item records for the Retrospective Theses collection were created by mapping existing MARC records, then transforming and enhancing this metadata. Records included fields encoded in our Qualified Dublin
Core schema, as well as the custom Thesis schema developed by the TDL member consortium. MODS metadata records were also generated, to be stored as bitstreams.",,,,,,,"Sarah Potvin and James Creel, ""Creating and Evaluating Metadata for a Large Legacy Thesis Collection: From 'Vocational Agriculture' (1922) to 'Microemulsion-mediated syntheses' (2004),"" Poster presented to the TxETDa/USETDA Region 3 Joint Conference (College Station, TX: February 28-March 1, 2013).",,,,,http://hdl.handle.net/1969.1/148732,,en_US,,,,,,,false,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Attribution-NonCommercial-ShareAlike 3.0 United States,,Electronic Theses and Dissertations||Digitization||Metadata,,Creating and Evaluating Metadata for a Large Legacy Thesis Collection: From 'Vocational Agriculture' (1922) to 'Microemulsion-mediated syntheses' (2004),Image||Presentation,University Libraries,,,,,,Applied
4,82,c0b90769-0e5a-4c76-b3dd-e181cea453f1,1969.1/93296,,,,,,"Cook, Vivian||Vaid, Jyotsna||Bassetti, Benedetta",2017-02-11T15:17:36Z,2017-02-11T15:17:36Z,,2009,,"This article introduces the birth of a journal, Writing Systems Research, and what it will cover.",,,,,,,"Cook, V., Vaid J. & Bassetti, B. (2009). Writing Systems Research: A new journal for a developing field. Writing Systems Research, 1(1), 1-3.",10.1093/wsr/wsp003,,,,http://hdl.handle.net/1969.1/158793,,en,,,,,,,,,,,Writing systems||orthography||written language||script||word recognition||reading||lteracy||spelling||language,,Writing Systems Research: A new journal for a developing field.,Article,Psychology,,,,,,Applied
